data	iloœæ wody dop³yw	suma w zbiorniku po pó³nocy	po odlaniu 	suma w zbiorniku o 8.00	z1	z2	z3									
18.08.2008	3054	318216	318216	311851			311852									
19.08.2008	3773	314905	314905	308606			308607									
20.08.2008	2308	312379	312379	306131			306132									
21.08.2008	3268	308439	308439	302270			302271									
22.08.2008	4390	305538	305538	299427			299428									
23.08.2008	3351	303817	303817	297740			297741									
24.08.2008	2652	301091	301091	295069			295070									
25.08.2008	3422	297721	297721	291766			291767									
26.08.2008	3226	295188	295188	289284			289285									
27.08.2008	3674	292510	292510	286659			286660									
28.08.2008	1726	290333	290333	284526			284527									
29.08.2008	2327	286252	286252	280526			280527									
30.08.2008	3059	282853	282853	277195			277196									
31.08.2008	2817	280254	280254	274648			274649									
01.09.2008	2784	277465	277465	271915			271916									
02.09.2008	3557	274699	274699	269205			269206									
03.09.2008	2714	272762	272762	267306			267307									
04.09.2008	3053	270020	270020	264619			264620									
05.09.2008	2360	267672	267672	262318			262319									
06.09.2008	2416	264678	264678	259384			259385									
07.09.2008	3157	261800	261800	256564			256564									
08.09.2008	3040	259721	259721	254526			254527									
09.09.2008	3579	257566	257566	252414			252415									
10.09.2008	4584	255993	255993	250873			250874									
11.09.2008	4167	255457	255457	250347			250348									
12.09.2008	2870	254514	254514	249423			249424									
13.09.2008	3641	252293	252293	247247			247248									
14.09.2008	4151	250888	250888	245870			245871									
15.09.2008	5997	250021	250021	245020			245021									
16.09.2008	5397	251017	251017	245996			245997									
17.09.2008	9242	251393	251393	246365			246366									
18.09.2008	14544	255607	255607	250494			250495									
19.09.2008	20777	265038	265038	259737			259738									
20.09.2008	26979	280514	280514	274903			274904									
21.09.2008	30900	301882	301882	295844			295845									
22.09.2008	30619	326744	326744	320209			320210									
23.09.2008	26700	350828	350828	343811			343812									
24.09.2008	20415	370511	370511	363100			363101									
25.09.2008	14816	383515	383515	375844			375845									
26.09.2008	8631	390660	390660	382846			382847									
27.09.2008	6098	391477	391477	383647			383648									
28.09.2008	5117	389745	389745	381950			381951									
29.09.2008	5295	387067	387067	379325			379326									
30.09.2008	4742	384620	384620	376927			376928									
01.10.2008	3950	381669	381669	374035			374036									
02.10.2008	3555	377985	377985	370425			370426									
03.10.2008	4471	373980	373980	366500			366501									
04.10.2008	4457	370971	370971	363551			363552									
05.10.2008	3654	368008	368008	360647			360648									
06.10.2008	4826	364301	364301	357014			357015									
07.10.2008	4674	361840	361840	354603			354604									
08.10.2008	5288	359277	359277	352091			352092									
09.10.2008	4131	357379	357379	350231			350232									
10.10.2008	4127	354362	354362	347274			347275									
11.10.2008	4541	351401	351401	344372			344373									
12.10.2008	5348	348913	348913	341934			341935									
13.10.2008	4037	347282	347282	340336			340337									
14.10.2008	5168	344373	344373	337485			337486									
15.10.2008	6442	342653	342653	335799			335800									
16.10.2008	6726	342241	342241	335396			335397									
17.10.2008	5742	342122	342122	335279			335280									
18.10.2008	5839	341021	341021	334200			334201									
19.10.2008	5593	340039	340039	333238			333239									
20.10.2008	4570	338831	338831	332054			332055									
21.10.2008	6733	336624	336624	329891			329892									
22.10.2008	6834	336624	336624	329891			329892									
23.10.2008	6874	336725	336725	329990			329991									
24.10.2008	6512	336864	336864	330126			330127									
25.10.2008	6077	336638	336638	329905			329906									
26.10.2008	7003	335982	335982	329262			329263									
27.10.2008	7172	336265	336265	329539			329540									
28.10.2008	6769	336711	336711	329976			329977									
29.10.2008	6222	336745	336745	330010			330011									
30.10.2008	6345	336232	336232	329507			329508									
31.10.2008	7049	335852	335852	329134			329135									
01.11.2008	6649	336183	336183	329459			329460									
02.11.2008	6635	336108	336108	329385			329386									
03.11.2008	5454	336020	336020	329299			329300									
04.11.2008	6118	334753	334753	328057			328058									
05.11.2008	6644	334175	334175	327491			327492									
06.11.2008	7736	334135	334135	327452			327453									
07.11.2008	7878	335188	335188	328484			328485									
08.11.2008	6982	336362	336362	329634			329635									
09.11.2008	8024	336616	336616	329883			329884									
10.11.2008	7672	337907	337907	331148			331149									
11.11.2008	7295	338820	338820	332043			332044									
12.11.2008	8983	339338	339338	332551			332552									
13.11.2008	8871	341534	341534	334703			334704									
14.11.2008	8472	343574	343574	336702			336703									
15.11.2008	9380	345174	345174	338270			338271									
16.11.2008	7281	347650	347650	340697			340697									
17.11.2008	7932	347978	347978	341018			341019									
18.11.2008	7610	348950	348950	341971			341971									
19.11.2008	7572	349581	349581	342589			342590									
20.11.2008	8349	350161	350161	343157			343158									
21.11.2008	6946	351506	351506	344475			344476									
22.11.2008	7001	351421	351421	344392			344393									
23.11.2008	6227	351393	351393	344365			344366									
24.11.2008	7519	350592	350592	343580			343581									
25.11.2008	6972	351099	351099	344077			344078									
26.11.2008	5653	351049	351049	344028			344029									
27.11.2008	7885	349681	349681	342687			342688									
28.11.2008	8358	350572	350572	343560			343561									
29.11.2008	6929	351918	351918	344879			344880									
30.11.2008	7413	351808	351808	344771			344772									
01.12.2008	7155	352184	352184	345140			345141									
02.12.2008	6361	352295	352295	345249			345250									
03.12.2008	6259	351610	351610	344577			344578									
04.12.2008	6630	350836	350836	343819			343820									
05.12.2008	7245	350449	350449	343440			343441									
06.12.2008	7067	350685	350685	343671			343672									
07.12.2008	6099	350738	350738	343723			343724									
08.12.2008	5855	349822	349822	342825			342826									
09.12.2008	6690	348680	348680	341706			341707									
10.12.2008	6131	348396	348396	341428			341429									
11.12.2008	7407	347559	347559	340607			340608									
12.12.2008	5502	348014	348014	341053			341054									
13.12.2008	6223	346555	346555	339623			339624									
14.12.2008	6034	345846	345846	338929			338930									
15.12.2008	5006	344963	344963	338063			338064									
16.12.2008	5512	343069	343069	336207			336208									
17.12.2008	4669	341719	341719	334884			334885									
18.12.2008	5071	339553	339553	332761			332762									
19.12.2008	5094	337832	337832	331075			331076									
20.12.2008	5882	336169	336169	329445			329446									
21.12.2008	4519	335327	335327	328620			328621									
22.12.2008	4112	333139	333139	326476			326477									
23.12.2008	4307	330588	330588	323976			323977									
24.12.2008	3984	328283	328283	321717			321718									
25.12.2008	4361	325701	325701	319186			319187									
26.12.2008	5689	323547	323547	317076			317077									
27.12.2008	4920	322765	322765	316309			316310									
28.12.2008	5158	321229	321229	314804			314805									
29.12.2008	4195	319962	319962	313562			313563									
30.12.2008	3935	317757	317757	311401			311402									
31.12.2008	5000	315336	315336	309029			309030									
01.01.2009	4337	314029	314029	307748			307749									
02.01.2009	4544	312085	312085	305843			305844									
03.01.2009	4082	310387	310387	304179			304180									
04.01.2009	3858	308261	308261	302095			302096									
05.01.2009	3348	305953	305953	299833			299834									
06.01.2009	4121	303181	303181	297117			297118									
07.01.2009	4570	301238	301238	295213			295214									
08.01.2009	4779	299783	299783	293787			293788									
09.01.2009	3121	298566	298566	292594			292595									
10.01.2009	4291	295715	295715	289800			289801									
11.01.2009	3541	294091	294091	288209			288210									
12.01.2009	3577	291750	291750	285915			285915									
13.01.2009	3904	289492	289492	283702			283703									
14.01.2009	3720	287606	287606	281853			281854									
15.01.2009	3973	285573	285573	279861			279862									
16.01.2009	4013	283834	283834	278157			278158									
17.01.2009	4167	282170	282170	276526			276527									
18.01.2009	3077	280693	280693	275079			275080									
19.01.2009	3774	278156	278156	272592			272593									
20.01.2009	3045	276366	276366	270838			270839									
21.01.2009	2107	273883	273883	268405			268406									
22.01.2009	2802	270512	270512	265101			265102									
23.01.2009	3806	267903	267903	262544			262545									
24.01.2009	3707	266350	266350	261023			261023									
25.01.2009	2791	264730	264730	259435			259436									
26.01.2009	2396	262226	262226	256981			256982									
27.01.2009	3617	259377	259377	254189			254190									
28.01.2009	3188	257806	257806	252649			252650									
29.01.2009	3769	255837	255837	250720			250721									
30.01.2009	2373	254489	254489	249399			249400									
31.01.2009	3427	251772	251772	246736			246737									
01.02.2009	3523	250163	250163	245159			245160									
02.02.2009	1913	248682	248682	243708			243709									
03.02.2009	3398	245621	245621	240708			240709									
04.02.2009	2388	244106	244106	239223			239224									
05.02.2009	4318	241611	241611	236778			236779									
06.02.2009	3330	241096	241096	236274			236275									
07.02.2009	4074	239604	239604	234811			234812									
08.02.2009	4219	238885	238885	234107			234108									
09.02.2009	3296	238326	238326	233559			233560									
10.02.2009	3234	236855	236855	232117			232118									
11.02.2009	3932	235351	235351	230643			230644									
12.02.2009	3724	234575	234575	229883			229884									
13.02.2009	3640	233607	233607	228934			228935									
14.02.2009	3265	232574	232574	227922			227923									
15.02.2009	4065	231187	231187	226563			226564									
16.02.2009	2117	230628	230628	226015			226016									
17.02.2009	5021	228132	228132	223569			223570									
18.02.2009	2418	228590	228590	224018			224019									
19.02.2009	3519	226436	226436	221907			221908									
20.02.2009	4203	225426	225426	220917			220918									
21.02.2009	3512	225120	225120	220617			220618									
22.02.2009	3892	224129	224129	219646			219647									
23.02.2009	2810	223538	223538	219067			219068									
24.02.2009	4333	221877	221877	217439			217440									
25.02.2009	3706	221772	221772	217336			217337									
26.02.2009	4048	221042	221042	216621			216622									
27.02.2009	3916	220669	220669	216255			216256									
28.02.2009	3130	220171	220171	215767			215768									
01.03.2009	3951	218897	218897	214519			214520									
02.03.2009	3492	218470	218470	214100			214101									
03.03.2009	3362	217592	217592	213240			213241									
04.03.2009	3696	216602	216602	212269			212270									
05.03.2009	2882	215965	215965	211645			211646									
06.03.2009	3229	214527	214527	210236			210237									
07.03.2009	3060	213465	213465	209195			209196									
08.03.2009	3351	212255	212255	208009			208010									
09.03.2009	4312	211360	211360	207132			207133									
10.03.2009	3650	211444	211444	207215			207216									
11.03.2009	3422	210865	210865	206647			206648									
12.03.2009	4751	210069	210069	205867			205868									
13.03.2009	4480	210618	210618	206405			206406									
14.03.2009	5311	210885	210885	206667			206668									
15.03.2009	5711	211978	211978	207738			207739									
16.03.2009	6109	213449	213449	209180			209181									
17.03.2009	7895	215289	215289	210983			210984									
18.03.2009	7250	218878	218878	214500			214501									
19.03.2009	8015	221750	221750	217315			217315									
20.03.2009	10277	225330	225330	220823			220824									
21.03.2009	10178	231100	231100	226478			226478									
22.03.2009	11852	236656	236656	231922			231923									
23.03.2009	12591	243774	243774	238898			238899									
24.03.2009	15973	251489	251489	246459			246460									
25.03.2009	15945	262432	262432	257183			257184									
26.03.2009	17252	273128	273128	267665			267666									
27.03.2009	19280	284917	284917	279218			279219									
28.03.2009	21192	298498	298498	292528			292529									
29.03.2009	21862	313720	313720	307445			307446									
30.03.2009	22732	329307	329307	322720			322721									
31.03.2009	25541	345452	345452	338542			338543									
01.04.2009	27288	364083	364083	356801			356802									
02.04.2009	29244	384089	384089	376407			376408									
03.04.2009	30545	405651	405651	397537			397538									
04.04.2009	31889	428082	428082	419520			419521									
05.04.2009	32857	451409	451409	442380			442381									
06.04.2009	34068	475237	475237	465732			465733									
07.04.2009	34173	499800	499800	489804			489804									
08.04.2009	35532	523977	523977	513497			513498									
09.04.2009	35501	549029	549029	538048			538049									
10.04.2009	34673	573549	573549	562078			562079									
11.04.2009	34613	596751	596751	584815			584816									
12.04.2009	35093	619428	619428	607039			607040									
13.04.2009	34211	642132	642132	629289			629290									
14.04.2009	34299	663500	663500	650230			650230									
15.04.2009	31797	684529	684529	670838			670839									
16.04.2009	31352	702635	702635	688582			688583									
17.04.2009	30008	719934	719934	705535			705536									
18.04.2009	28493	735543	735543	720832			720833									
19.04.2009	26201	749325	749325	734338			734339									
20.04.2009	23851	760539	760539	745328			745329									
21.04.2009	23814	769179	769179	753795			753796									
22.04.2009	20493	777609	777609	762056			762057									
23.04.2009	20137	782549	782549	766898			766899									
24.04.2009	17812	787035	787035	771294			771295									
25.04.2009	15804	789106	789106	773323			773324									
26.04.2009	13762	789127	789127	773344			773345									
27.04.2009	13318	787106	787106	771363			771364									
28.04.2009	12602	784681	784681	768987			768988									
29.04.2009	10530	781589	781589	765957			765958									
30.04.2009	9038	776487	776487	760957			760958									
01.05.2009	9493	769995	769995	754595			754596									
02.05.2009	8516	764088	764088	748806			748807									
03.05.2009	7700	757322	757322	742175			742176									
04.05.2009	6272	749875	749875	734877			734878									
05.05.2009	5776	741149	741149	726326			726327									
06.05.2009	6292	732102	732102	717459			717460									
07.05.2009	4342	723751	723751	709275			709276									
08.05.2009	5201	713617	713617	699344			699345									
09.05.2009	4530	704545	704545	690454			690455									
10.05.2009	3635	694984	694984	681084			681085									
11.05.2009	4015	684719	684719	671024			671025									
12.05.2009	4084	675039	675039	661538			661539									
13.05.2009	3126	665622	665622	652309			652310									
14.05.2009	3784	655435	655435	642326			642327									
15.05.2009	3777	646110	646110	633187			633188									
16.05.2009	3475	636964	636964	624224			624225									
17.05.2009	3736	627699	627699	615145			615146									
18.05.2009	3201	618881	618881	606503			606504									
19.05.2009	2937	609704	609704	597509			597510									
20.05.2009	3918	600446	600446	588437			588438									
21.05.2009	2743	592355	592355	580507			580508									
22.05.2009	3140	583250	583250	571585			571585									
23.05.2009	3211	574725	574725	563230			563231									
24.05.2009	3968	566441	566441	555112			555113									
25.05.2009	2780	559080	559080	547898			547899									
26.05.2009	3169	550678	550678	539664			539665									
27.05.2009	3051	542833	542833	531976			531977									
28.05.2009	3614	535027	535027	524326			524327									
29.05.2009	3415	527940	527940	517381			517382									
30.05.2009	3868	520796	520796	510380			510381									
31.05.2009	3541	514248	514248	503963			503964									
01.06.2009	2542	507504	507504	497353			497354									
02.06.2009	2643	499895	499895	489897			489898									
03.06.2009	3857	492540	492540	482689			482690									
04.06.2009	2818	486546	486546	476815			476816									
05.06.2009	3098	479633	479633	470040			470041									
06.06.2009	4014	473138	473138	463675			463676									
07.06.2009	3134	467689	467689	458335			458336									
08.06.2009	4582	461469	461469	452239			452240									
09.06.2009	7644	456821	456821	447684			447685									
10.06.2009	10982	455328	455328	446221			446222									
11.06.2009	14162	457203	457203	448058			448059									
12.06.2009	18471	462220	462220	452975			452976									
13.06.2009	21678	471446	471446	462017			462018									
14.06.2009	21732	483695	483695	474021			474022									
15.06.2009	18900	495753	495753	485837			485838									
16.06.2009	15404	504737	504737	494642			494643									
17.06.2009	10761	510046	510046	499845			499846									
18.06.2009	6931	510606	510606	500393			500394									
19.06.2009	5084	507324	507324	497177			497178									
20.06.2009	4665	502261	502261	492215			492216									
21.06.2009	4441	496880	496880	486942			486943									
22.06.2009	4017	491383	491383	481555			481556									
23.06.2009	3927	485572	485572	475860			475861									
24.06.2009	3807	479787	479787	470191			470192									
25.06.2009	2887	473998	473998	464518			464519									
26.06.2009	3297	467405	467405	458056			458057									
27.06.2009	2915	461353	461353	452125			452126									
28.06.2009	3235	455040	455040	445939			445940									
29.06.2009	2114	449174	449174	440190			440191									
30.06.2009	2772	442304	442304	433457			433458									
01.07.2009	2711	436229	436229	427504			427505									
02.07.2009	2174	430215	430215	421610			421611									
03.07.2009	3577	423784	423784	415308			415309									
04.07.2009	2184	418885	418885	410507			410508									
05.07.2009	3946	412691	412691	404437			404438									
06.07.2009	2938	408383	408383	400215			400216									
07.07.2009	2067	403153	403153	395089			395090									
08.07.2009	3414	397156	397156	389212			389213									
09.07.2009	3724	392626	392626	384773			384774									
10.07.2009	3452	388497	388497	380727			380728									
11.07.2009	3663	384179	384179	376495			376496									
12.07.2009	3939	380158	380158	372554			372555									
13.07.2009	4517	376493	376493	368963			368964									
14.07.2009	3195	373480	373480	366010			366011									
15.07.2009	2857	369205	369205	361820			361821									
16.07.2009	4374	364677	364677	357383			357384									
17.07.2009	2747	361757	361757	354521			354522									
18.07.2009	4302	357268	357268	350122			350123									
19.07.2009	3921	354424	354424	347335			347336									
20.07.2009	3435	351256	351256	344230			344231									
21.07.2009	4037	347665	347665	340711			340712									
22.07.2009	3367	344748	344748	337853			337854									
23.07.2009	2530	341220	341220	334395			334396									
24.07.2009	2347	336925	336925	330186			330187									
25.07.2009	3443	332533	332533	325882			325883									
26.07.2009	3533	329325	329325	322738			322739									
27.07.2009	3535	326271	326271	319745			319746									
28.07.2009	3322	323280	323280	316814			316815									
29.07.2009	3484	320136	320136	313733			313734									
30.07.2009	2984	317217	317217	310872			310873									
31.07.2009	3131	313856	313856	307578			307579									
01.08.2009	2976	310709	310709	304494			304495									
02.08.2009	2379	307470	307470	301320			301321									
03.08.2009	3417	303699	303699	297625			297626									
04.08.2009	3709	301042	301042	295021			295022									
05.08.2009	3840	298730	298730	292755			292756									
06.08.2009	2810	296595	296595	290663			290664									
07.08.2009	3895	293473	293473	287603			287604									
08.08.2009	3891	291498	291498	285668			285669									
09.08.2009	3387	289559	289559	283767			283768									
10.08.2009	3174	287154	287154	281410			281411									
11.08.2009	3309	284584	284584	278892			278893									
12.08.2009	2106	282201	282201	276556			276557									
13.08.2009	2400	278662	278662	273088			273089									
14.08.2009	3404	275488	275488	269978			269979									
15.08.2009	3480	273382	273382	267914			267915									
16.08.2009	4074	271394	271394	265966			265967									
17.08.2009	3642	270040	270040	264639			264640									
18.08.2009	4398	268281	268281	262915			262916									
19.08.2009	3024	267313	267313	261966			261967									
20.08.2009	2249	264990	264990	259690			259691									
21.08.2009	3722	261939	261939	256700			256701									
22.08.2009	3904	260422	260422	255213			255214									
23.08.2009	3680	259117	259117	253934			253935									
24.08.2009	4276	257614	257614	252461			252462									
